Ortsnetzkennzahl,Ortsnetzname,Bundesland,PLZ
00493631,Nordhausen Thür,Thüringen,99735; 99762; 99735; 99762; 99735; 99735; 99735; 99735; 99734; 99735; 99734; 99762; 99735; 99735; 99735
00493632,Sondershausen,Thüringen,99706; 99706; 99713; 99706
004936330,Grossberndten,Thüringen,99713; 99713; 99713; 99713; 99713; 99713; 99713; 99713
004936331,Ilfeld,Thüringen,99768; 99762; 99768; 99762; 99762; 99768
004936332,Ellrich,Thüringen,99755; 99755; 99735; 99755; 99762
004936333,Heringen Helme,Thüringen,99765; 99765; 99765; 99765; 99765; 99996; 99765; 99765
004936334,Wolkramshausen,Thüringen,99735; 99735; 99735; 99735; 99713; 99735; 99735; 99735
004936335,Grosswechsungen,Thüringen,99735; 99735; 99735; 99735; 99735; 99735; 99735
004936336,Klettenberg,Thüringen,99755
004936337,Schiedungen,Thüringen,99735; 99735; 99735
004936338,Bleicherode,Thüringen,99752; 37339; 99759; 99713; 99759; 99752; 99752; 99752; 99752; 99759; 99759; 99759; 99759; 99759; 99976; 99752
00493634,Sömmerda,Thüringen,99610; 99610; 99610; 99195; 99610; 99610; 99610; 99610; 99610; 99610
00493635,Kölleda,Thüringen,99625; 99625; 99625; 99625; 99625; 99625
00493636,Greussen,Thüringen,99718; 99718; 99718; 99718; 99718
004936370,Grossenehrich,Thüringen,99718; 99718; 99713; 99718; 99718; 99713; 99718; 99713; 99713
004936371,Schlossvippach,Thüringen,99195; 99195; 99195; 99195; 99195; 99610
004936372,Kleinneuhausen,Thüringen,99628; 99625; 99610; 99625; 99628; 99610
004936373,Buttstädt,Thüringen,99628; 99628; 99628; 99628; 99510; 99628; 99628
004936374,Weissensee,Thüringen,99631; 99631; 99631; 99631
004936375,Kindelbrück,Thüringen,06578; 99638; 99638; 99638; 06578; 99638; 99638
004936376,Straussfurt,Thüringen,99634; 99634; 99634; 99634; 99634; 99610
004936377,Rastenberg,Thüringen,06647; 99628; 06647; 06647; 99510; 99636
004936378,Ostramondra,Thüringen,99636
004936379,Holzengel,Thüringen,99718; 99718; 99718; 99718; 99718; 99718
00493641,Jena,Thüringen,07751; 07751; 07751; 07743; 07745; 07747; 07749; 07751; 07751; 07751; 07751; 07751; 07751; 07751; 07751; 07751; 07751; 07751
004936421,Camburg,Thüringen,07774; 99510; 07774; 99510; 99518; 07774; 07774
004936422,Reinstädt Thür,Thüringen,07768; 07751; 07768
004936423,Orlamünde,Thüringen,07768; 07768; 07768
004936424,Kahla Thür,Thüringen,07768; 07768; 07768; 07751; 07768; 07768; 07768; 07768; 07646; 07751; 07768; 07768; 07646
004936425,Isserstedt,Thüringen,07751; 07751; 99510; 99441; 07751; 07751; 99510; 99510; 99441; 07751; 07751
004936426,Ottendorf b Stadtroda,Thüringen,07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646
004936427,Dornburg Saale,Thüringen,07778; 07778; 07751; 07778; 07751; 07778; 07778; 07778
004936428,Stadtroda,Thüringen,07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646; 07646
00493643,Weimar Thür,Thüringen,99428; 99438; 99428; 99439; 99428; 99428; 99428; 99428; 99439; 99439; 99428; 99428; 99439; 99441; 99438; 99438; 99428; 99428; 99428; 99438; 99438; 99439; 99441; 99441; 99428; 99428; 99438; 99441; 99438; 99423; 99425; 99427; 99439
00493644,Apolda,Thüringen,99510; 99510; 99510; 99510; 99510; 99510; 99510; 99510
004936450,Kranichfeld,Thüringen,99448; 99448; 99448; 99438
004936451,Buttelstedt,Thüringen,99439; 99439; 99610; 99439; 99439; 99439; 99439; 99439
004936452,Berlstedt,Thüringen,99439; 99439; 99439; 99439; 99439; 99439; 99439; 99439; 99439
004936453,Mellingen,Thüringen,99441; 99441; 99441; 99441; 99441; 99441; 99438
004936454,Magdala,Thüringen,07751; 99441; 99441; 99441; 99441
004936458,Bad Berka,Thüringen,99438; 99438
004936459,Blankenhain Thür,Thüringen,99444
004936461,Bad Sulza,Thüringen,99518; 99518; 99518; 99518; 99518
004936462,Ossmannstedt,Thüringen,99510; 99510; 99510; 99510
004936463,Gebstedt,Thüringen,99510; 99518; 99510; 99518; 99518; 99510
004936464,Wormstedt,Thüringen,99518; 99510; 99510; 99510
004936465,Oberndorf b Apolda,Thüringen,NA
00493647,Pößneck,Thüringen,07381; 07389; 07381; 07381; 07389; 07387; 07381; 07381; 07387; 07381; 07381; 07381; 07389; 07381; 07389; 07387; 07389; 07389; 07381; 07381; 07381; 07389; 07389; 07381
004936481,Neustadt an der Orla,Thüringen,07806; 07806; 07819; 07819; 07806; 07806; 07806; 07819; 07806; 07806; 07806; 07819; 07819; 07819; 07806; 07819; 07819; 07819
004936482,Triptis,Thüringen,07955; 07819; 07819; 07819; 07819; 07819; 07819; 07819; 07819; 07819; 07819; 07819
004936483,Ziegenrück,Thüringen,07924; 07389; 07389; 07381; 07381; 07924; 07924
004936484,Knau b Pößneck,Thüringen,07389; 07806; 07389; 07389; 07389; 07806
0049365,Gera,Thüringen,07554; 07545; 07546; 07548; 07549; 07551; 07552; 07554; 07557; 07557; 06618; 06618; 07985; 07554; 06724
004936601,Hermsdorf Thür,Thüringen,07639; 07629; 07629; 07629; 07616; 07639; 07639
004936602,Ronneburg Thür,Thüringen,07580; 07580; 07554; 07554; 07580; 07580; 07580; 07580
004936603,Weida,Thüringen,07570; 07557; 07570; 07570; 07570; 07557; 07570; 07570; 07570; 07570; 07557
004936604,Münchenbernsdorf,Thüringen,07589; 07589; 07589; 07589; 07589; 07589
004936605,Bad Köstritz,Thüringen,07586; 07586; 07586
004936606,Kraftsdorf,Thüringen,07586; 07629
004936607,Niederpöllnitz,Thüringen,07570; 07589; 07570; 07570
004936608,Seelingstädt b Gera,Thüringen,07580; 07580; 04626; 07580; 07580
00493661,Greiz,Thüringen,07973; 07987; 07980; 07980
004936621,Elsterberg b Plauen,Thüringen,07985; 07985; 07985; 07985; 08491; 07985
004936622,Triebes,Thüringen,07950; 07958; 07950; 07950; 07338; 07570; 07950; 07950
004936623,Berga Elster,Thüringen,07980; 07980; 07646
004936624,Teichwolframsdorf,Thüringen,07989; 07989
004936625,Langenwetzendorf,Thüringen,07957; 07980; 07957; 07980; 07980; 07980
004936626,Auma,Thüringen,07955; 07387; 07950; 07950
004936628,Zeulenroda,Thüringen,07937; 07937; 07937; 07937; 07937; 07937; 07937; 07937; 07937
00493663,Schleiz,Thüringen,07924; 07907; 07919; 07907; 07924; 07907; 07907; 07907; 07924
004936640,Remptendorf,Thüringen,07907; 07368; 07368; 07368
004936642,Harra,Thüringen,07366; 07366; 07366; 07366; 07366; 07366; 07366
004936643,Thimmendorf,Thüringen,07356; 07356; 07356; 07356; 07356; 07356; 07356; 07356
004936644,Hirschberg Saale,Thüringen,07927
004936645,Mühltroff,Sachsen,08539; 07919; 07919; 08539
004936646,Tanna b Schleiz,Thüringen,07922
004936647,Saalburg Thür,Thüringen,07929
004936648,Dittersdorf b Schleiz,Thüringen,07907; 07907; 07907; 07907; 07907; 07907; 07907
004936649,Gefell b Schleiz,Thüringen,07926
004936651,Lobenstein,Thüringen,07368; 07356; 07356; 07366; 07356; 07356; 07570; 07356; 07356; 07356
004936652,Wurzbach,Thüringen,07343; 07356; 07343; 07343
004936653,Lehesten Thür Wald,Thüringen,07349; 07778
004936691,Eisenberg Thür,Thüringen,07607; 07607; 07607; 07613; 07616; 07613; 07616; 07613; 07613
004936692,Bürgel,Thüringen,07646; 07616; 07646; 07616; 07616; 07616; 07616; 07616; 07616; 07616; 07616; 07646; 07646; 07616; 07616; 07646
004936693,Crossen an der Elster,Thüringen,07613; 07613; 07613; 06722
004936694,Schkölen Thür,Sachsen-Anhalt,06618; 06721; 06722; 07619; 07619; 06618
004936695,Söllmnitz,Thüringen,07554; 07554; 07554
004936701,Lichte,Thüringen,98739; 98743; 98744; 98739; 98739
004936702,Lauscha,Thüringen,98724; 98724
004936703,Gräfenthal,Thüringen,98743; 98743; 98743; 98743; 98743
004936704,Steinheid,Thüringen,98749; 98749; 98749; 98749
004936705,Oberweißbach Thür Wald,Thüringen,98744; 98744; 98744; 98746; 98746; 98744
00493671,Saalfeld Saale,Thüringen,07318; 07318; 07318; 07334; 07334; 07318; 07333; 07318; 07318
00493672,Rudolstadt,Thüringen,07407; 07407; 07407; 07407; 07407; 07407
004936730,Sitzendorf,Thüringen,07426; 07426; 07429; 07429; 07427; 07429; 98744
004936731,Unterloquitz,Thüringen,07330; 07330; 07330; 07330; 07330; 07330
004936732,Könitz,Thüringen,07336; 07336; 07330
004936733,Kaulsdorf,Thüringen,07338; 07338
004936734,Leutenberg,Thüringen,07338; 07338; 07338; 07338; 07338; 07338; 07338; 07338; 07338; 07338
004936735,Probstzella,Thüringen,07338; 07330
004936736,Arnsgereuth,Thüringen,07318; 07318; 07318; 07318; 07318; 07330; 07318; 07318; 07318; 07318; 07318
004936737,Drognitz,Thüringen,07338; 07338; 07356; 07338; 07338; 07338
004936738,Königsee,Thüringen,07426; 07426; 98708; 98701; 07426; 07426; 07426
004936739,Rottenbach,Thüringen,07422; 07422; 07422; 07422; 07422; 07422; 07422; 07422
004936741,Bad Blankenburg,Thüringen,07422; 07422; 07422; 07422; 07422
004936742,Uhlstädt,Thüringen,07407; 07407; 07407; 07407; 07407; 07407; 07407
004936743,Teichel,Thüringen,07407; 07407; 07407; 07407; 07407; 07407; 07407; 07407; 07407; 07407
004936744,Remda,Thüringen,07407; 07407; 07407; 07407; 07407; 07407
00493675,Sonneberg Thür,Thüringen,96524; 96515; 96515; 96515; 96529; 96515; 96528; 96515
004936761,Heubisch,Thüringen,96524; 96524
004936762,Steinach Thür,Thüringen,96523; 96523; 96515; 98743; 96523
004936764,Neuhaus-Schierschnitz,Thüringen,96524; 96524
004936766,Schalkau,Thüringen,96528; 96528; 96528; 96528; 96528; 96528; 96528
00493677,Ilmenau Thür,Thüringen,98693; 98716; 98716; 98693; 98693; 98693; 98693; 98693; 98704; 98693; 98693
004936781,Grossbreitenbach,Thüringen,98701; 98701; 98701; 98701; 98701; 98701; 98746; 98701; 98701; 98701
004936782,Schmiedefeld a Rennsteig,Thüringen,98711; 98711; 98739; 98711; 98711
004936783,Gehren Thür,Thüringen,98708; 98708
004936784,Stützerbach,Thüringen,98714
004936785,Gräfinau-Angstedt,Sachsen-Anhalt,98704; 98704; 06536; 98704
00493679,Neuhaus a Rennweg,Thüringen,98724
00493681,Suhl,Thüringen,98529; 98529; 98553; 98746; 96523; 98553; 98527; 98528; 98529
00493682,Zella-Mehlis,Thüringen,98544
00493683,Schmalkalden,Thüringen,98574; 98593; 98574; 98597; 98590; 98574; 98590; 98574
004936840,Trusetal,Thüringen,98599; 98596
004936841,Schleusingen,Thüringen,98553; 98553; 98553; 98660; 98553; 98553; 98553
004936842,Oberhof Thür,Thüringen,98559
004936843,Benshausen,Thüringen,98554; 98547
004936844,Rohr Thür,Thüringen,98547; 98547; 98530
004936845,Gehlberg,Thüringen,98559; 98559
004936846,Suhl-Dietzhausen,Thüringen,98530; 98530; 98530; 98530; 98530; 98530; 98530; 98530; 98530
004936847,Steinbach-Hallenberg,Thüringen,98587; 98587; 98587; 98587; 98587; 98587; 98587; 98547
004936848,Wernshausen,Thüringen,98597; 98597; 98590
004936849,Kleinschmalkalden,Thüringen,98593
00493685,Hildburghausen,Thüringen,98646; 98646; 98646; 98646; 98646; 98646; 98646; 98646; 98646; 98646
00493686,Eisfeld,Thüringen,98673; 98673; 98673; 98673; 98678; 98678; 98678; 98678; 98678; 98666
004936870,Masserberg,Thüringen,98666
004936871,Bad Colberg-Heldburg,Thüringen,98663; 98663; 98663; 98663; 98663
004936873,Themar,Thüringen,98553; 98660; 98553; 98646; 98660; 98553; 98660; 98660; 98660; 98660; 98660
004936874,Schönbrunn b Hildburghaus,Thüringen,98666; 98667; 98667; 98667; 98667
004936875,Straufhain-Streufdorf,Thüringen,98663; 98646; 98663; 98646; 98646; 98663
004936878,Oberland,Thüringen,98673; 98673; 98673; 98673; 98673; 98669; 98667; 98667
00493691,Eisenach Thür,Thüringen,99817; 99819
004936920,Grossenlupnitz,Thüringen,99819; 99819; 99819; 99819; 99848; 99819
004936921,Wutha-Farnroda,Thüringen,99848
004936922,Gerstungen,Thüringen,99837; 99837; 99837; 99834; 99837; 99834; 99834
004936923,Treffurt,Thüringen,99830; 99830
004936924,Mihla,Thüringen,99826; 99826; 99826; 99826; 99826; 99826; 99826; 99826
004936925,Marksuhl,Thüringen,99819; 99819; 99819; 99819; 99819; 99819
004936926,Creuzburg,Thüringen,99831; 99831; 99831; 99831
004936927,Unterellen,Thüringen,99819
004936928,Neuenhof Thür,Thüringen,NA
004936929,Ruhla,Thüringen,99843; 99842; 99846; 99843
00493693,Meiningen,Thüringen,98617; 98639; 98639; 98617; 98639; 98639
004936940,Oepfershausen,Thüringen,98634; 98634; 98634; 98634
004936941,Wasungen,Thüringen,98634; 98590; 98634; 98634
004936943,Bettenhausen Thür,Thüringen,98617; 98617; 98617; 98617; 98617; 98617
004936944,Rentwertshausen,Thüringen,98631; 98631; 98631; 98631; 98631; 98631; 98631; 98631
004936945,Henneberg,Thüringen,98617; 98617; 98617; 98617
004936946,Erbenhausen Thür,Thüringen,98634; 98634; 98634; 98634; 98634; 98634; 98634
004936947,Jüchsen,Thüringen,98631; 98631; 98617; 98617
004936948,Römhild,Thüringen,98631; 98631; 98631; 98631; 98631
004936949,Obermaßfeld-Grimmenthal,Thüringen,98617; 98617; 98617; 98617; 98617; 98617; 98617; 98617; 98617
00493695,Bad Salzungen,Thüringen,36433; 36433; 36433; 36433; 36469; 36469; 36460
004936961,Bad Liebenstein,Thüringen,36448; 36456; 36448; 36448
004936962,Vacha,Thüringen,36414; 36404; 36404
004936963,Dorndorf Rhön,Thüringen,36460; 36460; 36460; 36460; 36460; 36404
004936964,Dermbach Rhön,Thüringen,36452; 36452; 36466; 36452; 36452; 36457; 36466; 36452
004936965,Stadtlengsfeld,Thüringen,36404; 36404; 36404; 36457; 36404; 36457; 36404
004936966,Kaltennordheim,Thüringen,98634; 36452; 98634; 36452; 36452; 36452; 36452; 98634
004936967,Geisa,Thüringen,36419; 36419; 36419; 36419; 36419; 36419; 36419; 36419; 36419; 36404; 36419; 36419; 36419; 36419; 36419
004936968,Rossdorf Rhön,Thüringen,98590; 98590; 98590
004936969,Merkers,Thüringen,36460
0049371,Chemnitz Sachs,Sachsen,07952; 09111; 09112; 09113; 09114; 09116; 09117; 09119; 09120; 09122; 09123; 09125; 09126; 09127; 09128; 09130; 09131; 09405; 09224; 09224; 09224; 09224; 09221; 09353; 09246; 04639; 09247; 09247; 09249; 08399
004937200,Wittgensdorf b Chemnitz,Sachsen,09228; 09228
004937202,Claussnitz b Chemnitz,Sachsen,09236; 09306
004937203,Gersdorf b Chemnitz,Sachsen,09355
004937204,Lichtenstein Sachs,Sachsen,09350
004937206,Frankenberg Sachs,Sachsen,09669
004937207,Hainichen Sachs,Sachsen,09661; 09661; 09661
004937208,Auerswalde,Sachsen,09244
004937209,Einsiedel b Chemnitz,Sachsen,09439
00493721,Meinersdorf,Sachsen,09392; 09235; 09423; 09390; 09395; 09387; 09221; 09380
00493722,Limbach-Oberfrohna,Sachsen,09212; 09232; 09247; 09212; 09241
00493723,Hohenstein-Ernstthal,Sachsen,09337; 09337; 09356
00493724,Burgstädt,Sachsen,09217
00493725,Zschopau,Sachsen,09435; 09434; 09435; 09430; 09439; 09437; 09405
00493726,Flöha,Sachsen,09569; 09557; 09577
00493727,Mittweida,Sachsen,09648; 09306; 09648; 09661
004937291,Augustusburg,Sachsen,09573; 09573
004937292,Oederan,Sachsen,09569; 09569
004937293,Eppendorf Sachs,Sachsen,09575
004937294,Grünhainichen,Sachsen,09437; 09579; 09579; 09437
004937295,Lugau Erzgeb,Sachsen,09385; 09385
004937296,Stollberg Erzgeb,Sachsen,09366; 09399
004937297,Thum Sachs,Sachsen,09419; 09419; 09419; 09419; 09423
004937298,Oelsnitz Erzgeb,Sachsen,09394; 09366
00493731,Freiberg Sachs,Sachsen,09599; 09633; 09627
004937320,Mulda Sachs,Sachsen,09619; 09619; 09619; 09619
004937321,Frankenstein Sachs,Sachsen,09603; 09569; 09600; 09600
004937322,Brand-Erbisdorf,Sachsen,09618; 09636; 09600
004937323,Lichtenberg Erzgeb,Sachsen,09638
004937324,Reinsberg Sachs,Sachsen,09629; 09629; 09629; 09629; 09634; 09629; 09629
004937325,Niederbobritzsch,Sachsen,09627
004937326,Frauenstein Sachs,Sachsen,09623; 01744; 01762
004937327,Rechenberg-Bienenmühle,Sachsen,09623
004937328,Grossschirma,Sachsen,09603; 09603
004937329,Grosshartmannsdorf,Sachsen,09618
00493733,Annaberg-Buchholz,Sachsen,09456; 09456; 09488; 09488; 09487; 09465
004937341,Ehrenfriedersdorf,Sachsen,09430; 09427; 09488; 09488
004937342,Cranzahl,Sachsen,09465; 09465
004937343,Jöhstadt,Sachsen,09477; 09477; 09471
004937344,Crottendorf Sachs,Sachsen,09474; 09474
004937346,Geyer,Sachsen,09468; 09468; 09468
004937347,Bärenstein Kr Annaberg,Sachsen,09471; 09484
004937348,Oberwiesenthal Kurort,Sachsen,NA
004937349,Scheibenberg,Sachsen,09481; 09481
00493735,Marienberg Sachs,Sachsen,09429; 09434; 09496; 09429
004937360,Olbernhau,Sachsen,09526; 09526; 09526; 09526; 09526; 09526; 09526; 09526
004937361,Neuhausen Erzgeb,Sachsen,09548; 09544
004937362,Seiffen Erzgeb,Sachsen,09526
004937363,Zöblitz,Sachsen,09496; 09509; 09517
004937364,Reitzenhain Erzgeb,Sachsen,09496; 09496; 09496; 09477; 09629
004937365,Sayda,Sachsen,09619; 09619
004937366,Rübenau,Sachsen,09526
004937367,Lengefeld Erzgeb,Sachsen,09514
004937368,Deutschneudorf,Sachsen,09548
004937369,Wolkenstein,Sachsen,09429; 09432; 09518; 09429; 09429; 09488; 09429
00493737,Rochlitz,Sachsen,09306; 09306; 09306; 09306; 14728; 09306; 09306; 09306; 09306; 09306; 09306; 09306; 09306
004937381,Penig,Sachsen,09322; 04657; 09243; 09322; 09322; 09322
004937382,Geringswalde,Sachsen,09326; 09326; 09326; 09573; 09326; 09326; 09326
004937383,Lunzenau,Sachsen,09328
004937384,Wechselburg,Sachsen,09306
00493741,Plauen,Sachsen,08541; 08541; 08547; 08547; 08525; 08525; 08606; 08541; 08527; 08527; 08523; 08525; 08527; 08529; 08527; 08527; 08541; 08541; 08541
004937421,Oelsnitz Vogtl,Sachsen,08606; 08606; 08606; 08606; 08606; 08626
004937422,Markneukirchen,Sachsen,08258; 08265; 08258; 08258; 08258
004937423,Adorf Vogtl,Sachsen,08626; 08258; 08626; 08626; 08626
004937430,Eichigt,Sachsen,08626; 08626
004937431,Mehltheuer Vogtl,Sachsen,07952; 08539; 08527; 08548
004937432,Pausa Vogtl,Thüringen,07952; 07937
004937433,Gutenfürst,Sachsen,08538
004937434,Bobenneukirchen,Sachsen,08606; 08606; 08606; 08606; 08606
004937435,Reuth b Plauen,Sachsen,08538; 08539
004937436,Weischlitz,Sachsen,08606; 08538
004937437,Bad Elster,Sachsen,08645
004937438,Bad Brambach,Sachsen,08648; 08393
004937439,Jocketa,Sachsen,08543; 08543; 08543; 07985; 08543
00493744,Auerbach Vogtl,Sachsen,08209; 08209; 08228
00493745,Falkenstein Vogtl,Sachsen,08236; 08223; 08223; 08223; 08239
004937462,Rothenkirchen Vogtl,Sachsen,08318; 08318; 08304; 08237; 08328
004937463,Bergen Vogtl,Sachsen,08239; 08541; 08606; 08239; 08223
004937464,Schöneck Vogtl,Sachsen,08626; 08261; 08626
004937465,Tannenbergsthal Vogtl,Sachsen,08223; 08269; 08262; 08262
004937467,Klingenthal Sachs,Sachsen,08248; 08267
004937468,Treuen Vogtl,Sachsen,08233; 08233; 08233
0049375,Zwickau,Sachsen,08115; 09376; 08432; 08144; 08112; 08056; 08058; 08060; 08062; 08064; 08066
004937600,Neumark Sachs,Sachsen,08496; 08115
004937601,Mülsen Skt Jacob,Sachsen,08132
004937602,Kirchberg Sachs,Sachsen,08147; 08107; 08107; 08107
004937603,Wildenfels,Sachsen,08134; 08141; 08121; 08134
004937604,Mosel,Sachsen,NA
004937605,Hartenstein Sachs,Sachsen,08118
004937606,Lengenfeld Vogtl,Sachsen,08485; 08485; 08485
004937607,Ebersbrunn Sachs,Sachsen,08144; 08144
004937608,Waldenburg Sachs,Sachsen,09337; 04618; 08396; 08396; 04618
004937609,Wolkenburg Mulde,Sachsen,08396
00493761,Werdau Sachs,Sachsen,08427; 08412; 08428; 08439; 08412; 08539
00493762,Crimmitschau,Thüringen,08451; 04626; 08459; 04626
00493763,Glauchau,Sachsen,08371; 08373
00493764,Meerane,Sachsen,08393; 08393; 08412
00493765,Reichenbach Vogtl,Sachsen,08491; 08468; 08543; 08491; 08491; 08468; 08499; 08491; 08468; 08468
00493771,Aue Sachs,Sachsen,08280; 08324; 08321
00493772,Schneeberg Erzgeb,Sachsen,08301; 08289
00493773,Johanngeorgenstadt,Sachsen,08349; 08349
00493774,Schwarzenberg,Sachsen,08340; 08315; 08358; 08312; 08352; 08352; 08352; 08340; 08352
004937752,Eibenstock,Sachsen,08318; 08309; 08325; 08309; 08318; 08326; 08309; 08309; 08309; 08318
004937754,Zwönitz,Sachsen,08294; 08297
004937755,Schönheide Erzgeb,Sachsen,NA
004937756,Breitenbrunn Erzgeb,Sachsen,08359
004937757,Rittersgrün,Sachsen,08355
0049381,Rostock,Mecklenburg-Vorpommern,18182; 18375; 18107; 18069; 18609; 18230; 18347; 18059; 18055; 18057; 18059; 18069; 18106; 18107; 18109; 18119; 18146; 18147; 18182
004938201,Gelbensande,Mecklenburg-Vorpommern,18182; 18182
004938202,Volkenshagen,Mecklenburg-Vorpommern,18184; 18184; 18182; 18146; 18184; 18182; 18182; 18182
004938203,Bad Doberan,Mecklenburg-Vorpommern,18211; 18209; 18209; 18211; 18209; 18209; 18211; 18209; 18209; 18209; 18209; 18209; 18211; 18209; 18209; 18211; 18209; 18209; 18211; 18211; 18211; 18209; 18209
004938204,Broderstorf,Mecklenburg-Vorpommern,18184; 18196; 18184; 18184
004938205,Tessin b Rostock,Mecklenburg-Vorpommern,18195; 18195; 18195; 18195; 18195
004938206,Graal-Müritz Seeheilbad,Mecklenburg-Vorpommern,18181; 18181; 18181; 18181
004938207,Stäbelow,Mecklenburg-Vorpommern,18239; 18239; 18239; 18239; 18239; 18239; 18239; 18198; 18239; 18059; 18198; 18059
004938208,Kavelstorf,Mecklenburg-Vorpommern,18196; 18196; 18196; 18196; 18196
004938209,Sanitz b Rostock,Mecklenburg-Vorpommern,18195; 18190; 18190; 18190; 18190; 18190; 18184
00493821,Ribnitz-Damgarten,Mecklenburg-Vorpommern,18320; 18311
004938220,Wustrow Ostseebad,Mecklenburg-Vorpommern,18347
004938221,Marlow,Mecklenburg-Vorpommern,18337; 18334
004938222,Semlow,Mecklenburg-Vorpommern,18334; 18334
004938223,Saal Vorpom,Mecklenburg-Vorpommern,18317; 18317; 18317; 18317; 18317
004938224,Gresenhorst,Mecklenburg-Vorpommern,NA
004938225,Trinwillershagen,Mecklenburg-Vorpommern,18320; 18320; 18320; 18320; 18320; 18320; 18320; 18320; 18320; 18320; 18320; 18320; 18320
004938226,Dierhagen Ostseebad,Mecklenburg-Vorpommern,18347
004938227,Lüdershagen b Barth,Mecklenburg-Vorpommern,18314; 18317; 18314
004938228,Dettmannsdorf-Kölzow,Mecklenburg-Vorpommern,18334; 18195; 18195
004938229,Bad Sülze,Mecklenburg-Vorpommern,18334; 18334
004938231,Barth,Mecklenburg-Vorpommern,18356; 18356; 18356; 18314; 18356; 18356; 18442; 18356; 18314; 18356; 18356; 18356
004938232,Zingst Ostseebad,Mecklenburg-Vorpommern,18374
004938233,Prerow Ostseebad,Mecklenburg-Vorpommern,18375
004938234,Born a Darß,Mecklenburg-Vorpommern,NA
004938292,Kröpelin,Mecklenburg-Vorpommern,18236; 18236; 18236; 18236; 18233; 18236; 18230; 18230
004938293,Kühlungsborn Ostseebad,Mecklenburg-Vorpommern,18230; 18230; 18225; 18209
004938294,Neubukow,Mecklenburg-Vorpommern,18233; 18230; 18233; 18230; 18233; 18239; 18233; 18230; 18233; 18230; 18233; 18233; 18230; 18233; 18233; 18233; 18230; 18233; 18233; 18233; 18233; 18230
004938295,Satow b Bad Doberan,Mecklenburg-Vorpommern,18239; 18239; 18239; 18239; 18239; 18239; 18239; 18230; 18239; 18239; 18239; 18239; 18239; 18239; 18239; 18239
004938296,Rerik Ostseebad,Mecklenburg-Vorpommern,18230; 18230; 18230; 18230; 18230; 18230; 18230; 18230; 18230
004938297,Moitin,Mecklenburg-Vorpommern,18236; 18236; 18233; 18233; 18236; 18239; 18233; 18233; 18233
004938300,Insel Hiddensee,Mecklenburg-Vorpommern,18565; 18565; 18565; 18565
004938301,Putbus,Mecklenburg-Vorpommern,18581; 18581; 18581; 18581; 18581
004938302,Sagard,Mecklenburg-Vorpommern,18551; 18528; 18551; 18551
004938303,Sellin Ostseebad,Mecklenburg-Vorpommern,18586; 18586
004938304,Garz Rügen,Mecklenburg-Vorpommern,18574; 18574
004938305,Gingst,Mecklenburg-Vorpommern,18569; 18569
004938306,Samtens,Mecklenburg-Vorpommern,18573; 18573; 18573; 18573
004938307,Poseritz,Mecklenburg-Vorpommern,18574; 18574
004938308,Göhren Rügen,Mecklenburg-Vorpommern,18586; 18586; 18586; 18586
004938309,Trent,Mecklenburg-Vorpommern,18569; 18569; 18569
00493831,Stralsund,Mecklenburg-Vorpommern,18442; 18435; 18437; 18439; 18442
004938320,Tribsees,Mecklenburg-Vorpommern,18334; 18465; 18461; 18465; 18334; 18465
004938321,Martensdorf b Stralsund,Mecklenburg-Vorpommern,18442; 18442; 18442
004938322,Richtenberg,Mecklenburg-Vorpommern,18461; 18461; 18461
004938323,Prohn,Mecklenburg-Vorpommern,18445; 18445; 18445; 18445; 18445; 18445
004938324,Velgast,Mecklenburg-Vorpommern,18320; 18469; 18314; 18314; 18314; 18314; 18469; 18461
004938325,Rolofshagen,Mecklenburg-Vorpommern,18510; 18513
004938326,Grimmen,Mecklenburg-Vorpommern,18507; 18442; 18510; 18513
004938327,Elmenhorst Vorpom,Mecklenburg-Vorpommern,18510; 18442; 18510; 18510
004938328,Miltzow,Mecklenburg-Vorpommern,18510; 18519; 18519; 18519
004938331,Rakow Vorpom,Mecklenburg-Vorpommern,18516
004938332,Gross Bisdorf,Mecklenburg-Vorpommern,18195
004938333,Horst b Grimmen,Mecklenburg-Vorpommern,18519; 18519
004938334,Grammendorf,Mecklenburg-Vorpommern,18513; 18513; 18513; 18513
00493834,Greifswald,Mecklenburg-Vorpommern,17498; 17498; 17489; 17491; 17493; 17498
004938351,Mesekenhagen,Mecklenburg-Vorpommern,17493; 17493; 17498; 17498; 18519; 17498; 17498; 17498; 17498
004938352,Kemnitz b Greifswald,Mecklenburg-Vorpommern,17509; 17509; 17509; 17509
004938353,Gützkow b Greifswald,Mecklenburg-Vorpommern,17506; 17506; 17495; 17506; 17506; 17506
004938354,Wusterhusen,Mecklenburg-Vorpommern,17509; 17509; 17509; 17509
004938355,Züssow,Mecklenburg-Vorpommern,17506; 17495; 17495; 17495; 17495
004938356,Behrenhoff,Mecklenburg-Vorpommern,17498; 17498; 17506
00493836,Wolgast,Mecklenburg-Vorpommern,17440; 17440; 17440; 17440; 17438
004938370,Kröslin,Mecklenburg-Vorpommern,17440
004938371,Karlshagen,Mecklenburg-Vorpommern,17449; 17449; 17449
004938372,Usedom,Mecklenburg-Vorpommern,17419; 17406; 17406; 17406; 17406
